edge_idx,edge,score
7,"('EGHM', 'LG')",0.0874798595905304
136,"('HRL', 'LG')",0.0061310334131121635
178,"('LAA', 'GVM')",2.2083101677578681e-13
224,"('GVM', 'VST')",2.2083101677578681e-13
428,"('DVNK', 'VST')",2.2083101677578681e-13
40,"('GVC', 'LAA')",2.2083101677578681e-13
186,"('AH', 'AHP')",2.1256407007827494e-13
219,"('RTB', 'RTZ')",2.057587227769636e-13
328,"('BRD', 'ZLW')",1.8608297411640273e-13
113,"('RTD', 'RTN')",1.544577725269558e-13
112,"('RTA', 'RTN')",1.544577725269558e-13
360,"('CPS', 'NWK')",1.544577725269558e-13
119,"('CPS', 'RTA')",1.544577725269558e-13
34,"('GD', 'NWK')",1.512091097949017e-13
41,"('GDG', 'WD')",1.4554881551300664e-13
204,"('GD', 'GDG')",1.4554881551300664e-13
153,"('RH', 'VP')",1.4278704087156147e-13
152,"('AHPR', 'VP')",1.4278704087156147e-13
399,"('AHPR', 'AHP')",1.4278704087156147e-13
369,"('DR', 'RH')",1.4278704087156147e-13
